T001;435842.923;1296818.104;43.253
R001;435902.591;1296782.775;53.403
T002;435827.951;1296810.779;42.159
T003;435832.919;1296804.587;42.586
MACH;435899.778;1296797.479;56.415
001;435829.408;1296812.741;42.311
002;435829.243;1296816.306;42.779
003;435828.625;1296813.860;42.208
004;435827.808;1296818.035;42.610
005;435829.066;1296818.647;42.357
006;435827.861;1296818.782;42.188
007;435827.023;1296811.030;42.102
008;435827.621;1296810.021;42.148
009;435831.983;1296814.936;42.384
010;435834.551;1296811.637;42.509
011;435837.769;1296810.460;42.606
012;435835.547;1296821.485;43.937
013;435837.171;1296823.653;43.302
014;435838.802;1296824.612;43.127
015;435845.228;1296821.861;43.310
016;435848.125;1296816.959;43.409
017;435849.713;1296811.588;43.219
018;435845.483;1296809.566;43.027
019;435845.058;1296805.710;44.987
020;435844.086;1296808.861;42.904
021;435837.433;1296818.250;45.159
022;435838.072;1296817.184;45.159
023;435847.063;1296807.909;42.861
024;435851.655;1296809.272;43.156
025;435854.480;1296803.799;43.058
026;435857.134;1296802.479;43.260
027;435857.263;1296801.659;43.555
028;435857.677;1296801.524;43.946
029;435860.079;1296803.639;43.497
030;435858.624;1296809.565;43.507
031;435863.982;1296813.019;43.974
032;435858.560;1296815.594;43.847
033;435861.481;1296817.062;44.130
034;435855.945;1296820.180;43.931
035;435851.929;1296817.903;43.633
036;435851.233;1296814.243;43.452
037;435855.222;1296823.253;43.979
038;435858.521;1296824.976;44.757
039;435859.575;1296825.646;44.880
040;435860.069;1296824.894;44.884
T004;435849.841;1296820.806;43.672
041;435844.719;1296813.579;43.292
042;435839.595;1296817.267;42.973
043;435840.498;1296812.248;42.774
044;435853.496;1296828.038;43.883
045;435854.513;1296832.938;44.114
046;435850.956;1296828.507;43.725
047;435848.860;1296830.068;43.702
048;435849.731;1296825.086;43.675
049;435845.517;1296822.172;43.366
050;435843.473;1296824.524;43.282
051;435840.801;1296825.771;43.135
052;435841.894;1296822.107;43.140
053;435843.000;1296809.217;45.135
054;435842.004;1296809.133;44.722
055;435860.628;1296802.910;45.934
056;435864.655;1296804.992;46.626
057;435864.570;1296805.107;46.873
058;435865.871;1296805.492;46.175
059;435866.758;1296805.853;46.416
060;435867.406;1296806.102;46.477
061;435851.143;1296801.741;42.841
062;435851.529;1296800.191;43.181
063;435849.615;1296803.382;42.716
064;435851.014;1296808.424;43.059
065;435853.558;1296812.922;43.400
066;435853.705;1296825.677;43.863
067;435854.993;1296825.408;43.932
068;435834.126;1296802.240;42.360
069;435832.189;1296804.883;42.543
070;435831.973;1296805.493;42.203
071;435831.534;1296810.093;42.323
072;435825.812;1296810.149;42.094
073;435825.552;1296808.438;41.958
074;435821.469;1296804.424;41.799
075;435819.704;1296804.964;41.660
076;435819.612;1296802.899;41.631
T005;435811.655;1296797.010;40.855
080;435813.769;1296809.561;41.674
081;435811.259;1296809.586;40.971
082;435813.419;1296806.627;41.475
083;435816.556;1296804.754;41.650
084;435816.983;1296801.841;41.388
085;435817.456;1296801.199;41.410
086;435823.490;1296797.887;41.625
087;435815.528;1296799.900;41.085
088;435814.868;1296800.863;41.065
089;435810.384;1296801.029;40.816
090;435808.838;1296807.780;40.584
091;435804.064;1296819.307;40.586
092;435798.530;1296828.898;40.597
093;435787.365;1296825.255;40.076
094;435785.298;1296830.166;40.035
095;435786.673;1296826.752;40.017
096;435788.827;1296826.353;40.091
097;435791.414;1296824.322;40.208
098;435795.543;1296827.854;40.324
099;435798.026;1296814.980;40.429
100;435801.530;1296813.813;40.477
101;435802.158;1296805.796;41.250
102;435808.703;1296797.461;40.774
103;435815.234;1296791.054;41.078
104;435816.871;1296786.140;41.423
105;435819.933;1296794.116;41.188
106;435822.549;1296794.227;41.335
107;435819.054;1296792.892;40.934
108;435838.576;1296768.526;41.422
109;435838.571;1296768.489;41.423
110;435834.275;1296762.988;41.881
111;435830.772;1296769.613;41.322
112;435840.570;1296768.437;41.003
113;435847.605;1296758.766;41.522
114;435852.811;1296749.927;41.738
115;435857.723;1296745.742;41.840
116;435824.199;1296783.254;41.133
117;435819.308;1296789.988;41.054
118;435815.594;1296795.371;40.891
119;435807.635;1296805.820;40.642
120;435809.083;1296816.861;43.515
121;435814.214;1296812.932;43.821
122;435812.603;1296812.021;43.728
123;435808.009;1296797.069;43.009
124;435813.941;1296788.874;43.066
125;435825.693;1296799.672;46.391
126;435819.650;1296802.882;43.205
127;435814.727;1296804.763;42.643










ST01;435830.901;1296769.591;47.420
ST02;435863.962;1296723.417;49.098
R002;435953.908;1296705.959;55.192
200;435896.675;1296793.016;52.863
201;435892.866;1296800.781;52.652
202;435889.711;1296807.211;52.395
203;435884.882;1296815.399;52.449
204;435880.978;1296821.831;52.336
205;435877.097;1296830.133;52.438
206;435872.442;1296837.420;52.133
207;435868.410;1296843.094;51.989
208;435891.504;1296813.489;52.858
209;435897.452;1296802.745;53.025
210;435903.784;1296791.345;53.247
211;435911.925;1296776.920;53.516


PP0294;435974.195;1296640.920;56.550
PP3420;436075.232;1296463.822;58.160
